date,page_views,unique_visitors,signups,bounce_rate_pct,avg_session_minutes,traffic_source
2026-01-01,4200,3100,45,52.3,3.2,organic
2026-01-02,3900,2950,38,54.1,3.0,organic
2026-01-03,4600,3400,52,49.8,3.5,social
2026-01-04,5100,3800,61,47.2,3.7,organic
2026-01-05,4800,3500,55,50.5,3.4,paid
2026-01-06,5300,4000,68,45.9,3.9,organic
2026-01-07,5600,4200,72,44.3,4.1,social
2026-01-08,4950,3650,58,49.0,3.6,organic
2026-01-09,4700,3450,50,51.2,3.3,paid
2026-01-10,5800,4350,80,43.5,4.3,organic
2026-01-11,6100,4600,88,41.8,4.5,social
2026-01-12,5900,4450,85,42.6,4.4,organic
2026-01-13,5400,4050,70,46.0,4.0,paid
2026-01-14,5700,4250,76,44.9,4.2,organic
2026-01-15,6300,4750,95,40.2,4.6,social
2026-01-16,6500,4900,102,39.5,4.8,organic
2026-01-17,6200,4650,90,41.0,4.5,paid
2026-01-18,6700,5050,110,38.7,5.0,organic
2026-01-19,7000,5300,120,37.2,5.2,social
2026-01-20,6800,5150,115,38.0,5.1,organic
